date,card_number,type,amount
2020-09-03,30266797916450,R,270
2020-07-14,180000986833798,T,783
2018-01-05,347290566535273,E,714
2018-02-24,3524037806145911,R,172
2018-08-24,6542360089494884,R,539
2018-08-31,5141877989823331,C,73
2018-10-25,30544528622666,E,91
2019-07-26,4157781999097874624,C,613
2019-06-11,374292993904250,C,2
2019-08-28,4284882923377279,E,857
2019-09-13,213170843280896,F,329
2020-04-22,38990302131774,B,292
2020-07-18,4913786463914897,B,844
2019-03-04,3517041866239688,F,57
2018-06-14,3587172243848316,F,817
2018-01-31,3564449334196830,F,503
2018-12-31,4016479866289,C,835
2019-07-25,6573307135424631,E,187
2020-08-04,213134961860178,B,915
2018-12-24,4303776819256,F,174
2018-09-02,3575129580850846,R,13
2020-02-26,371311997378288,B,235
2019-12-01,213194879268054,F,286
2019-01-29,30235943654711,T,95
2019-11-10,4181111644344,F,51
2017-11-19,6590821464595612,T,183
2020-05-13,6576493168332284,R,424
2019-11-04,4127809105024792,E,82
2018-11-23,2240885728908773,F,646
2019-03-27,213146037584905,T,695
2020-02-06,343937400934799,R,620
2019-06-26,38857975693804,T,857
2020-06-16,4863040353954294,E,480
2020-09-01,4589857500191931,E,28
2018-07-11,4104817170272458,C,698
2017-11-13,342037549828589,C,236
2020-05-02,347329286681650,R,76
2020-01-26,676196237801,F,225
2019-11-26,4089916728699249734,C,598
2018-01-22,379087563253418,B,325
2020-09-06,2720916111414951,T,787
2019-01-15,4306501037555463,F,762
2019-04-16,6011961623225890,T,72
2019-04-29,4672352671887804,C,108
2017-12-12,503840917820,B,767
2020-08-21,4505140068440,B,401
2020-04-03,6521443306889139,T,923
2020-03-20,4573142694989897,E,94
2019-05-03,4248206771472450,E,521
2018-03-14,3559857344927076,F,657
2018-04-13,4672079174572755164,E,69
2020-08-08,213166418390383,B,60
2017-12-28,180066489129265,E,66
2019-06-25,6011179768271237,R,152
2020-02-29,4599127743739924249,R,320
2019-01-06,38873231583283,R,842
2018-08-30,3583674268406742,E,646
2019-05-03,4210314647497,F,760
2018-06-18,060470431614,F,824
2018-01-09,6517350669581722,C,426
2018-05-04,3555812206149453,R,865
2017-12-20,3556036393337148,T,142
2019-12-31,6011075598677439,R,638
2019-04-04,342281190122765,F,985
2018-02-22,4580420674695358,C,975
2018-12-28,4931140765061890,T,923
2020-09-03,213186089100671,T,713
2019-09-07,213104003415299,R,690
2019-05-10,372491439075038,C,167
2020-07-30,341697319796281,T,802
2018-09-03,4628731405885942,T,949
2020-01-14,3552336299744742,R,411
2018-09-19,3530367118108204,F,351
2017-12-28,4901293998469152,C,20
2019-02-05,3554445092591289,R,59
2019-11-19,503893254931,R,374
2019-09-26,30121500423635,R,169
2019-12-23,4796891587049,B,331
2017-10-16,4267285138123788,C,201
2019-05-30,4342026632091637,F,431
2020-02-02,6556617791909803,R,567
2018-03-30,6568949898656300,F,597
2019-02-05,4668400074505113,C,155
2020-01-21,213163619755621,R,423
2017-11-05,4902235399180146686,R,437
2019-08-19,573153729211,F,689
2017-10-22,4684467550912592,T,99
2019-03-01,2266309720780287,F,306
2017-09-20,3543926843153168,B,269
2018-04-11,4240101257896132,T,695
2020-08-30,30059108366717,R,708
2019-10-05,30469180358310,C,310
2019-04-28,676319415383,T,905
2017-12-20,4077982795777993,F,377
2018-11-02,675967550293,T,933
2018-11-16,377221884196038,F,403
2020-04-20,4573310945409259317,T,301
2019-03-09,30166159667040,B,168
2020-08-30,3570597207046565,R,124
2017-12-07,675955532097,B,600
2020-01-18,344109428157659,F,84
2017-11-24,4519681263534,C,792
2020-03-12,4623982107869487,C,441
2018-11-24,379257434305701,R,567
2018-02-03,4466685801637734,C,642
2019-09-20,060444441335,F,613
2019-01-29,3592166177090849,T,324
2019-07-16,4484683025712716193,C,550
2018-11-02,30070985318242,T,131
2020-01-02,3599317303540313,C,904
2018-12-17,4695791779690,C,122
2019-07-05,4234902321895655,C,259
2019-07-06,2704857767835018,T,737
2018-04-01,4426404593154593080,E,306
2019-04-04,676225567616,C,573
2018-07-22,4623754460152193,T,311
